epoch,learning_rate,loss,panel_iou,val_loss,val_panel_iou
0,9.999999747378752e-05,1.2694460153579712,0.7484966516494751,1.6267081499099731,0.18953989446163177
1,9.999999747378752e-05,1.0676088333129883,0.8468285202980042,1.1149649620056152,0.19513224065303802
2,9.999999747378752e-05,1.0175869464874268,0.8626824021339417,1.0515620708465576,0.19495722651481628
3,9.999999747378752e-05,1.0108928680419922,0.8441357612609863,1.0345683097839355,0.19562463462352753
4,9.999999747378752e-05,0.9443961381912231,0.8746020197868347,1.0156245231628418,0.1963391751050949
5,9.999999747378752e-05,0.8921477198600769,0.882810115814209,0.9922585487365723,0.19607220590114594
6,9.999999747378752e-05,0.8934139013290405,0.8695389032363892,0.9861677885055542,0.19649063050746918
7,9.999999747378752e-05,0.8334506154060364,0.8875090479850769,0.9642887115478516,0.19649507105350494
8,9.999999747378752e-05,0.8000816702842712,0.8926277756690979,0.9380360245704651,0.1968039870262146
9,9.999999747378752e-05,0.8025450706481934,0.8809990882873535,0.9304667711257935,0.19644489884376526
10,9.999999747378752e-05,0.7651851773262024,0.890108585357666,0.9237114191055298,0.19659751653671265
11,9.999999747378752e-05,0.7402730584144592,0.8922019004821777,0.9091468453407288,0.1963302195072174
12,9.999999747378752e-05,0.7443222403526306,0.8854242563247681,0.8935400247573853,0.19563831388950348
13,9.999999747378752e-05,0.7118982076644897,0.8877331018447876,0.8851189613342285,0.19665111601352692
14,9.999999747378752e-05,0.6908293962478638,0.8935101628303528,0.8856720328330994,0.1941937357187271
15,9.999999747378752e-05,0.667161226272583,0.8947916626930237,0.8758839964866638,0.19688467681407928
16,9.999999747378752e-05,0.6623782515525818,0.8910465240478516,0.8712183833122253,0.19651080667972565
17,9.999999747378752e-05,0.6362845301628113,0.8940044045448303,0.8881407976150513,0.1930513083934784
18,9.999999747378752e-05,0.6217980980873108,0.89290851354599,0.858534038066864,0.19682934880256653
19,9.999999747378752e-05,0.6066899299621582,0.8947206735610962,0.8599824905395508,0.19133052229881287
20,9.999999747378752e-05,0.5995419025421143,0.8953217267990112,0.8471177816390991,0.196759432554245
21,9.999999747378752e-05,0.5911075472831726,0.8975995182991028,0.8427531123161316,0.19674205780029297
22,9.999999747378752e-05,0.595578670501709,0.8904368281364441,0.8393423557281494,0.19661210477352142
23,9.999999747378752e-05,0.5710073709487915,0.8970568180084229,0.8347856998443604,0.1967824399471283
24,9.999999747378752e-05,0.5830373764038086,0.8893947005271912,0.8339844942092896,0.19667799770832062
25,9.999999747378752e-05,0.557693600654602,0.8973102569580078,0.8323132991790771,0.19678644835948944
26,9.999999747378752e-05,0.5442050695419312,0.8954479098320007,0.8290055990219116,0.19674666225910187
27,9.999999747378752e-05,0.5481936931610107,0.897283136844635,0.825615644454956,0.19680474698543549
28,9.999999747378752e-05,0.5470859408378601,0.8948559761047363,0.8244839906692505,0.1968386471271515
29,9.999999747378752e-05,0.5249640345573425,0.9007426500320435,0.8221846222877502,0.19682490825653076
30,9.999999747378752e-05,0.5153078436851501,0.8979654908180237,0.8234634399414062,0.19678102433681488
31,9.999999747378752e-05,0.525132417678833,0.8956505060195923,0.8206728100776672,0.19690555334091187
32,9.999999747378752e-05,0.5527234673500061,0.8826598525047302,0.8191245198249817,0.19678658246994019
33,9.999999747378752e-05,0.5124896764755249,0.8986879587173462,0.8178455829620361,0.19677820801734924
34,9.999999747378752e-05,0.5035432577133179,0.9001004695892334,0.8167939186096191,0.19682523608207703
35,9.999999747378752e-05,0.5015305280685425,0.8972266912460327,0.8164539933204651,0.19691886007785797
36,9.999999747378752e-05,0.4973742365837097,0.9004260301589966,0.8146528005599976,0.19675181806087494
37,9.999999747378752e-05,0.49166980385780334,0.9023134708404541,0.8130941390991211,0.1968190222978592
38,9.999999747378752e-05,0.5048394799232483,0.8936341404914856,0.8170632123947144,0.19641338288784027
39,9.999999747378752e-05,0.49888095259666443,0.8955264091491699,0.811712920665741,0.1967313140630722
40,9.999999747378752e-05,0.48646387457847595,0.8999108672142029,0.8116429448127747,0.19681818783283234
41,9.999999747378752e-05,0.4792497456073761,0.8985806107521057,0.8116023540496826,0.19673636555671692
42,9.999999747378752e-05,0.4807819128036499,0.898805558681488,0.8109056353569031,0.19674502313137054
43,9.999999747378752e-05,0.4739767611026764,0.902725875377655,0.8100166916847229,0.19670988619327545
44,9.999999747378752e-05,0.46739983558654785,0.901818573474884,0.8100350499153137,0.19681787490844727
45,9.999999747378752e-05,0.47367429733276367,0.9009588360786438,0.8093425035476685,0.19693490862846375
46,9.999999747378752e-05,0.49637165665626526,0.8908047676086426,0.822163462638855,0.19688493013381958
47,9.999999747378752e-05,0.46567589044570923,0.8999790549278259,0.8091577291488647,0.19679169356822968
48,9.999999747378752e-05,0.47360771894454956,0.8969387412071228,0.8087521195411682,0.19691520929336548
49,9.999999747378752e-05,0.47504016757011414,0.8993091583251953,0.8084389567375183,0.1968243271112442
