epoch,learning_rate,loss,panel_iou,val_loss,val_panel_iou
15,9.999999747378752e-06,0.6187591552734375,0.7809808254241943,1.3343007564544678,0.3631201982498169
16,9.999999747378752e-06,0.3818359076976776,0.8447417616844177,0.780335009098053,0.3823482394218445
17,9.999999747378752e-06,0.30596399307250977,0.8716737627983093,0.7421150207519531,0.38357359170913696
18,9.999999747378752e-06,0.25865715742111206,0.8893980979919434,0.7719317078590393,0.39062798023223877
19,9.999999747378752e-06,0.22417955100536346,0.9028193950653076,0.9469007849693298,0.38714075088500977
20,9.999999747378752e-06,0.19732962548732758,0.913616955280304,0.7850825786590576,0.38865962624549866
21,9.999999747378752e-06,0.1770075559616089,0.9218701124191284,0.8094810247421265,0.39908885955810547
22,9.999999747378752e-06,0.15991729497909546,0.9289950728416443,1.042330265045166,0.39557427167892456
23,9.999999747378752e-06,0.14603255689144135,0.9349541068077087,1.1399216651916504,0.3972228765487671
24,9.999999747378752e-06,0.13383236527442932,0.9399968981742859,1.39845609664917,0.3959638774394989
25,9.999999747378752e-06,0.12446222454309464,0.9439381957054138,1.0985195636749268,0.40052440762519836
26,9.999999747378752e-06,0.11554250121116638,0.9476759433746338,1.2337586879730225,0.3968276381492615
27,9.999999747378752e-06,0.10797390341758728,0.950947105884552,1.252083420753479,0.401009202003479
28,9.999999747378752e-06,0.10190580040216446,0.9536750316619873,0.8098758459091187,0.4099213182926178
29,9.999999747378752e-06,0.0958917886018753,0.9563186764717102,1.1269224882125854,0.40336790680885315
30,9.999999747378752e-06,0.09009333699941635,0.9587293267250061,1.0746766328811646,0.40759173035621643
31,9.999999747378752e-06,0.08581676334142685,0.9607027173042297,1.33640456199646,0.40378066897392273
32,9.999999747378752e-06,0.08170470595359802,0.9624450206756592,1.099256992340088,0.4091404378414154
33,4.999999873689376e-06,0.06880321353673935,0.9680171608924866,1.4041123390197754,0.40525442361831665
34,4.999999873689376e-06,0.06350692361593246,0.9705082178115845,0.9580813050270081,0.412759929895401
